video_id,channel_id,channel_title,title,description,published_at,category_id,tags,view_count,like_count,comment_count,duration,definition,caption,video_age_days,duration_seconds,is_short,collection_min_age_days,collection_max_age_days,channel_subscriber_count,channel_total_view_count,channel_video_count,channel_published_at,channel_country,query_used,data_extracted_at
7FWnR7NzYIo,UCqJ5zFEED1hWs0KNQCQuYdQ,Mikecrack,CARRERA de SPIDER-MAN 999% IMPOSIBLE NO CAER 😂🚗 MIKECRACK en GTA 5 Online #27,"Nos convertimos en super Heroes para descubrir quien es el más poderoso en el parkour de GTA 5 Online: Spiderman, Hulk, Capitan América o Thor! 😂
🎮 Descarga NTE Gratis aquí!: https://pwgam.es/3PAPxhl
#nte #nevernesstoeverness #NTElaunch 
💎💎 REDES SOCIALES 💎💎
📷 Instagram: https://bit.ly/3q1UB1D
🎵 TikTok: https://bit.ly/3QleqeS
❌ X: https://bit.ly/3q1UGSZ
👾 Discord: https://bit.ly/3Yf1OYF

📖📖 MIS LIBROS 📖📖
📘 Las Perrerías de Mike: https://bit.ly/3rOrLlK
📕 Saga Los Compas: https://bit.ly/3OadUOh
📚 Otros libros: https://bit.ly/3KiYJ48

🎮🎮 JUEGOS Y APPS 🎮🎮
🧱 BlockyCraft Mikcrack: https://bit.ly/450tVA5
⛏ Mikecrack Miner: https://bit.ly/3KloMI2

🛒👕 TIENDA OFICIAL DE MIKECRACK 🧸🛒
🇪🇸 https://mikecrack.shop/es
🇲🇽 https://bit.ly/4mMlBde
🌎 https://bit.ly/4cJQMS9

⚡⚡ CAMPAMENTOS de MIKECRACK ⚡⚡
⛺Inscripciones: https://www.campamentosmikecrack.com/

📢📢 CONTACT 📢📢
💼 Business: business@diamantitos.com
✉️ Fans: mikies@diamantitos.com
📄 Web: https://www.mikecrack.com/


⏰⏰ TIEMPOS ⏰⏰
0:00 Presentación
0:26 Spider-Man vs Hulk
3:38 NTE Gratis
5:03 Hacemos trampas chocando
11:31 Spider-Man vs Thor
13:18 Usamos los Super Poderes
15:43 Parkour 999% Imposible
20:22 La Prueba Final

🔻MÚSICA:
●  Intro: Different Heaven - Far Away
● Outro: Chocolate con Almendras
● Music from Epidemic Sounds http://www.epidemicsound.com/
● Bensound: http://www.bensound.com/royalty-free-music
● Kevin MacLeod (incompetech.com) Licensed under Creative Commons: By Attribution 3.0 http://creativecommons.org/licenses/by/3.0/",2026-05-17T22:15:28Z,20,"['mikecrack', 'mike crack', 'mikecrak', 'mike', 'minecraft', 'gta 5', 'gta v', 'gta 5 mikecrack', 'gta v mikecrack', 'mikecrack gta 5', 'mikecrack gta v', 'gta 5 online', 'gta 6', 'gta 6 online', 'rampa gta 5', 'timba vk', 'invictor', 'los compas', 'acenix', 'autos', 'imposible', 'gta v online', 'spider-man', 'spiderman', 'spider man', 'hulk', 'parkour', 'parkour gta 5']",979183,24061,3007,PT22M26S,hd,false,14,1346,False,6,30,58400000,21825105355,2242,2015-07-13T21:16:29Z,ES,Mikecrack,2026-06-01T10:50:10.917382+00:00
ynN-x0c4_qk,UCcjIvuxmWlS5IEQ0JdPV4Ng,Rubius Z,LANZANDO COHETES pero con presupuesto de 1€ | Basement To The Sky,"Like para pagar mis deudas y no echen a la señora

Streams: https://www.twitch.tv/Rubius
Mi Tienda: https://madkat.net
Discord: https://discord.gg/rubius",2026-05-24T17:34:06Z,20,"['elrubius', 'rubius', 'nuevo', '2026', 'meme', 'basement to the sky', 'gameplay', 'gracioso', 'mejores momentos', 'new', 'cohete', 'rocket', 'simulador', 'simulator', 'juego', 'memes', 'casero', 'jardin', 'casa', 'nasa', 'spacex', 'lanzamiento', 'elon musk', 'espacio', 'experimento', 'experimentos']",2246013,119303,2192,PT31M20S,hd,false,7,1880,False,6,30,14400000,3523706559,971,2006-04-03T17:21:00Z,ES,elrubiusOMG,2026-06-01T10:50:11.871910+00:00
73NSOQyiMD8,UCcjIvuxmWlS5IEQ0JdPV4Ng,Rubius Z,"VOY A BORRAR ESTE JUEGO (Subnautica 2, Episodio 2)","Like si quieres conservar tus derechos humanos (por ahora)

Streams: https://www.twitch.tv/Rubius
Discord: https://discord.gg/rubius
Mi Tienda: https://madkat.net/",2026-05-22T16:01:20Z,20,"['elrubius', 'rubius', 'subnautica', 'terror', 'horror', 'subnautica 2', 'mar', 'oceano', 'talasofobia', 'leviatan', 'criaturas', 'survival', 'nuevo', 'meme', 'memes', 'serie', 'risas', 'casa', 'capitulo 2', 'episodio 2', 'Void Leviathan', 'leviathan', 'Submarino', 'exploracion', 'oscuridad', 'base']",1726461,84720,1202,PT31M26S,hd,false,9,1886,False,6,30,14400000,3523706559,971,2006-04-03T17:21:00Z,ES,elrubiusOMG,2026-06-01T10:50:11.871944+00:00
IiPO3kVyqok,UCcjIvuxmWlS5IEQ0JdPV4Ng,Rubius Z,Lo de Forza Horizon 6 es SALVAJE,"Like si este juego se ve mejor que la vida real

Streams: https://www.twitch.tv/Rubius
Discord: https://discord.gg/rubius
Mi Tienda: https://madkat.net/",2026-05-20T16:08:16Z,20,"['elrubius', 'rubius', 'forza', 'forza 6', 'Forza Horizon 6', 'nuevo', '2026', 'Japón', 'robot', 'gundam', 'carrera', 'coches', 'coche', 'Comprar Forza Horizon 6', 'Ferrari J50', 'tokio', 'drift', 'velocidad', 'Horizon', 'paisajes', 'meca', 'mecha', 'realista', 'graficos', 'autos', 'lamborhini', 'lambo', 'meka', 'japon', 'tokyo', 'rayo mcqueen', 'carreras']",2140452,95289,1387,PT19M18S,hd,false,11,1158,False,6,30,14400000,3523706559,971,2006-04-03T17:21:00Z,ES,elrubiusOMG,2026-06-01T10:50:11.871958+00:00
WIaYpCdwJ-Y,UCcjIvuxmWlS5IEQ0JdPV4Ng,Rubius Z,El Reto IMPOSIBLE de Pokémon (Mi Chat vs Un Experto),"Like si Deoxys sigue haciendo masas cósmicas en algún lugar del universo

Streams: https://www.twitch.tv/Rubius
Discord: https://discord.gg/rubius
Mi Tienda: https://madkat.net/

OST:
Deoxys theme:
https://www.youtube.com/watch?v=RdJs-u7wWpQ
https://www.youtube.com/watch?v=v8b3VWhFQJg

Unova Elite Four theme: https://www.youtube.com/watch?v=sXycOtrJv08",2026-05-17T16:18:41Z,20,"['elrubius', 'rubius', 'nuevo', '2026', 'pokemon', 'pokemon rubi', 'pokemon zafiro', 'ruby', 'shapphire', 'pokemon rubi omega', 'hoenn', 'folagor', 'locke', 'randomlocke', 'challenge', 'liga pokemon', 'deoxys', 'meme', 'funny', 'dualocke', 'epic', 'movie', 'pelicula', 'chepita', 'mama carlos', 'memes', 'tiktok', 'pikachu', 'huevos', 'random', 'nuzlocke', 'dificil', 'hardcore', 'reto', 'chat']",2456589,171574,8071,PT1H31M42S,hd,false,14,5502,False,6,30,14400000,3523706559,971,2006-04-03T17:21:00Z,ES,elrubiusOMG,2026-06-01T10:50:11.871971+00:00
2RDvGoRfLIw,UCcjIvuxmWlS5IEQ0JdPV4Ng,Rubius Z,"UN OCEANO PRECIOSO Y PELIGROSO (Subnautica 2, Episodio 1)","Like si los argentinos me van a funar (os quiero che)

Streams: https://www.twitch.tv/Rubius
Discord: https://discord.gg/rubius
Mi Tienda: https://madkat.net/",2026-05-16T17:06:49Z,20,"['elrubius', 'rubius', 'subnautica', 'terror', 'horror', 'subnautica 2', 'mar', 'oceano', 'talasofobia', 'leviatan', 'criaturas', 'survival', 'nuevo', 'meme', 'memes', 'serie', 'capitulo 1', 'risas', 'casa']",2568845,118664,2272,PT33M11S,hd,false,15,1991,False,6,30,14400000,3523706559,971,2006-04-03T17:21:00Z,ES,elrubiusOMG,2026-06-01T10:50:11.871981+00:00
7rZaVe2pdJ4,UCam8T03EOFBsNdR0thrFHdQ,VEGETTA777,El FINAL de SUBNAUTICA 2,"🔥 Juegos -70% DTO:  https://ene.ba/Vegetta
🔥 Colección Exclusiva de Vegetta777: https://ene.ba/Vegetta-Top-List

⭐️ MI TIENDA⭐️ https://vegetta777.shop/ 

💜 Puedes encontrarme también en Twitch💜: https://www.twitch.tv/vegetta777

🍌 Codigo creador Fortnite - VEGETTA777 🍌

🦄 Hazte miembro del canal aquí 🦄 - https://www.youtube.com/user/vegetta777/join

💜 Unete a mi Discord aquí 💜 https://discord.gg/vegetta777

____________________________

INFORMACIÓN DEL CANAL : 
____________________________

Soy Samuel De Luque y básicamente lo que hago en mi canal es hacer de mi afición, los videojuegos, un modo de entretenimiento para todo el mundo. No soy el mejor jugador, ni el que mejor comenta, ni el que mejor edita, pero espero que aun así disfrutes a mi lado y junto a los amigos que me acompañan día a día haciendo vídeos. Un fuerte abrazo. Os quiero. 💜
__________________

REDES SOCIALES : 
__________________


- INSTAGRAM VEGETTA777 
 http://goo.gl/m33DQo

- TWITCH VEGETTA777
http://goo.gl/V8MZfM

- TWITTER VEGETTA777: 
http://goo.gl/s0ScyN

- FACEBOOK (PAGINA):
http://goo.gl/Gfj14j

- GOOGLE+: 
http://goo.gl/oXY9jZ

___________________________________

CONTACTO EXCLUSIVO BUSINESS : 
___________________________________

vegetta777@vizz-agency.com

#subnautica2 #vegetta777",2026-05-25T16:31:48Z,20,"['subnautica 2 vegetta777', 'subnautica 2 vegetta777 capitulo', 'subnautica 2 vegetta777 serie', 'subnautica 2 gameplay vegetta777', 'subnautica 2 partida vegetta777', 'subnautica 2 vegetta', 'vegetta777 subnautica 2', 'subnautica 2 gameplay español', 'subnautica 2 supervivencia', 'subnautica 2 cooperativo', 'subnautica 2 ocean survival', 'subnautica 2 terror submarino', 'jugando subnautica 2 vegetta777', 'partida subnautica 2', 'subnautica 2 base submarina', 'subnautica 2 exploracion oceano']",142127,9481,102,PT1H55M15S,hd,false,6,6915,False,6,30,34700000,16388983964,8845,2008-03-02T19:25:21Z,,VEGETTA777,2026-06-01T10:50:12.904014+00:00
aZ1MgSVL1k8,UCam8T03EOFBsNdR0thrFHdQ,VEGETTA777,Así AVANZA nuestro IMPERIO en DIOSESMC,"Tienda DIOSESMC: https://tienda.diosesmc.net/
IP de BEDROCK - bedrock.diosesmc.net
IP de JAVA - mc.diosesmc.net 

🔥 Juegos -70% DTO:  https://ene.ba/Vegetta
🔥 Colección Exclusiva de Vegetta777: https://ene.ba/Vegetta-Top-List

⭐️ MI TIENDA⭐️ https://vegetta777.shop/ 

💜 Puedes encontrarme también en Twitch💜: https://www.twitch.tv/vegetta777

🍌 Codigo creador Fortnite - VEGETTA777 🍌

🦄 Hazte miembro del canal aquí 🦄 - https://www.youtube.com/user/vegetta777/join

💜 Unete a mi Discord aquí 💜 https://discord.gg/vegetta777

____________________________

INFORMACIÓN DEL CANAL : 
____________________________

Soy Samuel De Luque y básicamente lo que hago en mi canal es hacer de mi afición, los videojuegos, un modo de entretenimiento para todo el mundo. No soy el mejor jugador, ni el que mejor comenta, ni el que mejor edita, pero espero que aun así disfrutes a mi lado y junto a los amigos que me acompañan día a día haciendo vídeos. Un fuerte abrazo. Os quiero. 💜
__________________

REDES SOCIALES : 
__________________


- INSTAGRAM VEGETTA777 
 http://goo.gl/m33DQo

- TWITCH VEGETTA777
http://goo.gl/V8MZfM

- TWITTER VEGETTA777: 
http://goo.gl/s0ScyN

- FACEBOOK (PAGINA):
http://goo.gl/Gfj14j

- GOOGLE+: 
http://goo.gl/oXY9jZ

___________________________________

CONTACTO EXCLUSIVO BUSINESS : 
___________________________________

vegetta777@vizz-agency.com

#minecraft #qsmp2 #vegetta777",2026-05-24T17:25:59Z,20,"['minecraft qsmp 2 vegetta777', 'minecraft qsmp 2 serie', 'minecraft qsmp 2 serie minecraft', 'videojuego serie quackity', 'serie vegetta777 quackity', 'minecraft qsmp 2 capitulo', 'vegetta777 minecraft qsmp 2', 'vegetta777 qsmp 2 quackity', 'minecraft qsmp 2 juego', 'minecraft qsmp 2 gameplay', 'minecraft qsmp 2 partida', 'minecraft qsmp 2 vegetta', 'minecraft qsmp 2 partida completa', 'partida minecraft qsmp 2', 'minecraft qsmp 2 vegetta y quackity', 'jugando con quackity', 'qsmp 2 streamers']",124514,5443,58,PT2H44M55S,hd,false,7,9895,False,6,30,34700000,16388983964,8845,2008-03-02T19:25:21Z,,VEGETTA777,2026-06-01T10:50:12.904053+00:00
IO1pfP0_Oo4,UCam8T03EOFBsNdR0thrFHdQ,VEGETTA777,SUBNAUTICA 2: Máximo de PROFUNDIDAD,"🔥 Juegos -70% DTO:  https://ene.ba/Vegetta
🔥 Colección Exclusiva de Vegetta777: https://ene.ba/Vegetta-Top-List

⭐️ MI TIENDA⭐️ https://vegetta777.shop/ 

💜 Puedes encontrarme también en Twitch💜: https://www.twitch.tv/vegetta777

🍌 Codigo creador Fortnite - VEGETTA777 🍌

🦄 Hazte miembro del canal aquí 🦄 - https://www.youtube.com/user/vegetta777/join

💜 Unete a mi Discord aquí 💜 https://discord.gg/vegetta777

____________________________

INFORMACIÓN DEL CANAL : 
____________________________

Soy Samuel De Luque y básicamente lo que hago en mi canal es hacer de mi afición, los videojuegos, un modo de entretenimiento para todo el mundo. No soy el mejor jugador, ni el que mejor comenta, ni el que mejor edita, pero espero que aun así disfrutes a mi lado y junto a los amigos que me acompañan día a día haciendo vídeos. Un fuerte abrazo. Os quiero. 💜
__________________

REDES SOCIALES : 
__________________


- INSTAGRAM VEGETTA777 
 http://goo.gl/m33DQo

- TWITCH VEGETTA777
http://goo.gl/V8MZfM

- TWITTER VEGETTA777: 
http://goo.gl/s0ScyN

- FACEBOOK (PAGINA):
http://goo.gl/Gfj14j

- GOOGLE+: 
http://goo.gl/oXY9jZ

___________________________________

CONTACTO EXCLUSIVO BUSINESS : 
___________________________________

vegetta777@vizz-agency.com

#subnautica2 #vegetta777",2026-05-23T17:14:53Z,20,"['subnautica 2 vegetta777', 'subnautica 2 vegetta777 capitulo', 'subnautica 2 vegetta777 serie', 'subnautica 2 gameplay vegetta777', 'subnautica 2 partida vegetta777', 'subnautica 2 vegetta', 'vegetta777 subnautica 2', 'subnautica 2 gameplay español', 'subnautica 2 supervivencia', 'subnautica 2 cooperativo', 'subnautica 2 ocean survival', 'subnautica 2 terror submarino', 'jugando subnautica 2 vegetta777', 'partida subnautica 2', 'subnautica 2 base submarina', 'subnautica 2 exploracion oceano']",199160,9610,78,PT2H21M35S,hd,false,8,8495,False,6,30,34700000,16388983964,8845,2008-03-02T19:25:21Z,,VEGETTA777,2026-06-01T10:50:12.904069+00:00
NcqE4IrZ43k,UCam8T03EOFBsNdR0thrFHdQ,VEGETTA777,LEGO Batman: Desbloqueando BATCUEVA #2,"🔥 Juegos -70% DTO:  https://ene.ba/Vegetta
🔥 Colección Exclusiva de Vegetta777: https://ene.ba/Vegetta-Top-List

⭐️ MI TIENDA⭐️ https://vegetta777.shop/ 

💜 Puedes encontrarme también en Twitch💜: https://www.twitch.tv/vegetta777

🍌 Codigo creador Fortnite - VEGETTA777 🍌

🦄 Hazte miembro del canal aquí 🦄 - https://www.youtube.com/user/vegetta777/join

💜 Unete a mi Discord aquí 💜 https://discord.gg/vegetta777

____________________________

INFORMACIÓN DEL CANAL : 
____________________________

Soy Samuel De Luque y básicamente lo que hago en mi canal es hacer de mi afición, los videojuegos, un modo de entretenimiento para todo el mundo. No soy el mejor jugador, ni el que mejor comenta, ni el que mejor edita, pero espero que aun así disfrutes a mi lado y junto a los amigos que me acompañan día a día haciendo vídeos. Un fuerte abrazo. Os quiero. 💜
__________________

REDES SOCIALES : 
__________________


- INSTAGRAM VEGETTA777 
 http://goo.gl/m33DQo

- TWITCH VEGETTA777
http://goo.gl/V8MZfM

- TWITTER VEGETTA777: 
http://goo.gl/s0ScyN

- FACEBOOK (PAGINA):
http://goo.gl/Gfj14j

- GOOGLE+: 
http://goo.gl/oXY9jZ

___________________________________

CONTACTO EXCLUSIVO BUSINESS : 
___________________________________

vegetta777@vizz-agency.com

#legobatman  #vegetta777  #lego",2026-05-22T17:58:51Z,20,"['lego batman', 'lego batman vegetta777', 'LEGO® Batman™ El Legado del Caballero Oscuro', 'LEGO BATMAN', 'gameplay lego batman']",321829,16871,155,PT3H15M26S,hd,false,9,11726,False,6,30,34700000,16388983964,8845,2008-03-02T19:25:21Z,,VEGETTA777,2026-06-01T10:50:12.904082+00:00
