video_id,channel_id,channel_title,title,description,published_at,category_id,tags,view_count,like_count,comment_count,duration,definition,caption,video_age_days,duration_seconds,is_short,collection_min_age_days,collection_max_age_days,channel_subscriber_count,channel_total_view_count,channel_video_count,channel_published_at,channel_country,query_used,data_extracted_at
OEDOi7raKoc,UCKy1dAqELo0zrOtPkf0eTMw,IGN,War Fantasy - Official Announcement Trailer,"Don't miss the announcement trailer for War Fantasy, a psychological horror FPS game developed by Non-Euclidean. You will face a demented commanding officer who controls your every move, and the line between war simulation and real war dissolves into impossible, stunning spaces. You are not a soldier. You are being made into one. War Fantasy is coming soon to PC (Steam).
https://store.steampowered.com/app/4657920/War_Fantasy/",2026-05-26T18:11:41Z,20,"['Action', 'First-Person', 'Horror', 'Non-Euclidean', 'PC', 'Shooter', 'War Fantasy', 'War Fantasy game trailer', 'game trailers', 'trailer', 'trailers', 'gaming', 'video games', 'video game trailer', 'video game trailers', 'new game trailers', 'new video game trailers', 'upcoming video games', 'new video games 2026', 'upcoming video games 2026']",37345,1365,108,PT1M35S,hd,false,6,95,True,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.615986+00:00
jdp9abDgvCU,UCKy1dAqELo0zrOtPkf0eTMw,IGN,"Toy Story 5 - Official Final Trailer (2026) Tom Hanks, Tim Allen, Joan Cusack","Don't miss the Final Trailer for Toy Story 5, the fifth installment in the classic animated film series distributed by Walt Disney. Embark on another animated adventure with Buzz, Woody, Jessie, and more alongside newcomers with Lilypad in Toy Story 5, in theaters on June 19.

Become acquainted with the new character Lilypad, a high-tech frog-shaped smart tablet voiced by Greta Lee that makes Buzz, Woody, Jessie, and the rest of the gang’s jobs exponentially harder when they have to go head-to-head with the all-new threat to playtime.

Tom Hanks returns as the ever loyal cowboy Woody, Tim Allen reports for duty as Buzz Lightyear, and Joan Cusack saddles up again as the rootin’ tootin’ cowgirl Jessie. It was recently announced that Conan O’Brien will also be a part of the voice cast as the toilet training tech toy, Smarty Pants.

“Toy Story 5” is directed by Academy Award® winner Andrew Stanton, co-directed by Kenna Harris, and produced by Lindsey Collins. The animated adventure releases in theaters nationwide on June 19.

#ToyStory5 #IGN #Movies",2026-05-26T17:03:02Z,24,"['Adventure', 'Animation', 'Comedy', 'Family', 'Pixar Animation Studios', 'Theater', 'Toy Story', 'Toy Story 5', 'Walt Disney Studios Motion Pictures', 'toy story 5', 'toy story 5 trailer', 'toy story 5 movie', 'toy story 5 official trailer', 'toy story 5 announcement', 'toy story 5 lilypad', 'toy story 5 release date', 'toy story 5 news', 'toy story 5 andy returns', 'toy story 5 trailer official', 'toy story movie', 'toy story 5 pixar', 'toy story 5 toys', 'toy story 5 teaser', 'toy story 5 teaser trailer']",184600,3534,0,PT1M45S,hd,false,6,105,True,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.615995+00:00
6uVA6Gpo4nk,UCKy1dAqELo0zrOtPkf0eTMw,IGN,9 Things You Need to Know About World of Tanks: HEAT,"The creators of the legendary vehicle combat game World of Tanks are back with an entirely new tactical battlefield: World of Tanks: HEAT! Ready to experience an alternate-history timeline where brutal post-WWII military engineering blends with raw, mechanical sci-fi fantasy? Then this is the game for you.

We're breaking down 9 things you need to know before you jump into the driver's seat and dominate the frontlines! World of Tanks: HEAT is free-to-play and available right now on Wargaming Game Center, Steam (including Steam Deck), Xbox Series X|S, PlayStation 5, and NVIDIA GeForce NOW.

Presented by World of Tanks: HEAT.

Play free at: https://wotheat.com

#IGN #Gaming",2026-05-26T17:00:03Z,20,"['world of tanks heat', 'world of tanks heat gameplay', 'world of tanks heat 9 things you need to know', 'world of tanks heat tips', 'world of tanks heat agents', 'wargaming new game', 'world of tanks alternate history', 'world of tanks heat guide', 'world of tanks heat free to play', 'world of tanks heat steam', 'world of tanks heat xbox', 'world of tanks heat ps5', 'world of tanks heat defender assault marksman', 'world of tanks heat agent roles']",437780,1027,137,PT6M29S,hd,false,6,389,False,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.616004+00:00
BH84pdg48sU,UCKy1dAqELo0zrOtPkf0eTMw,IGN,Call of Duty: Black Ops 7 - Official Season 4 Story Cinematic Trailer,"Don't miss the Season 4 Story Cinematic Trailer for Call of Duty: Black Ops 7, the latest addition to the first-person action shooter series developed by Treyarch. Players will witness an ultimate clash between Karma and Dorne, with the Guild-killing virus being ready to deploy. Season 4 for Call of Duty: Black Ops 7 is launching on June 4 for PlayStation 4 (PS4), PlayStation 5 (PS5), Xbox One, Xbox Series X|S, and PC (Steam).",2026-05-26T16:21:00Z,20,"['Activision', 'Call of Duty', 'Call of Duty: Black Ops 7', 'First-Person', 'PC', 'PlayStation 4', 'PlayStation 5', 'Raven Software', 'Shooter', 'Treyarch', 'Xbox One', 'Xbox Series X/S']",22064,283,71,PT1M20S,hd,false,6,80,True,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.616013+00:00
NejZ0sVJEdw,UCKy1dAqELo0zrOtPkf0eTMw,IGN,Tainted Grail: The Fall of Avalon - Official Bonus Content 3 Anniversary DLC Trailer,"Here's a look at the Bonus Content 3 Anniversary DLC Trailer for Tainted Grail: The Fall of Avalon, a first-person open-world dark fantasy RPG developed by Questline. To celebrate the one-year anniversary, players can gain access to a new content pack with new playstyles, gear, outfits, and more to celebrate the milestone. Tainted Grail: The Fall of Avalon is available now for PlayStation 5 (PS5), Xbox Series X|S, and PC (Steam and GoG).",2026-05-26T16:10:32Z,20,"['Awaken Realms', 'Open-World', 'PC', 'PlayStation 5', 'RPG', 'Tainted Grail', 'Tainted Grail: The Fall of Avalon', 'Xbox Series X/S']",12930,310,25,PT1M39S,hd,false,6,99,True,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.616021+00:00
Ns5FD4r2SMc,UCKy1dAqELo0zrOtPkf0eTMw,IGN,Tainted Grail: The Fall of Avalon - Official 'Our Journey' Trailer,"Watch the 'Our Journey' Trailer for Tainted Grail: The Fall of Avalon, a first-person open-world dark fantasy RPG developed by Questline. To celebrate the one-year anniversary, players can take a trip down memory lane to see how Tainted Grail: The Fall of Avalon has evolved from prototype to the latest update for the game. Tainted Grail: The Fall of Avalon is available now for PlayStation 5 (PS5), Xbox Series X|S, and PC (Steam and GoG).",2026-05-26T15:53:55Z,20,"['Awaken Realms', 'Open-World', 'PC', 'PlayStation 5', 'RPG', 'Tainted Grail', 'Tainted Grail: The Fall of Avalon', 'Xbox Series X/S']",15453,482,44,PT3M34S,hd,false,6,214,False,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.616029+00:00
u4E-ia892M4,UCKy1dAqELo0zrOtPkf0eTMw,IGN,Silver Pines: 12 Minutes of Survival Horror Gameplay,"Check out a dozen minutes of early gameplay from Silver Pines, an upcoming survival horror metroidvania set against the backdrop of a small town and rendered using a stylized graphic novel look. 

Wishlist it on Steam if you're interested: https://store.steampowered.com/app/2333000/Silver_Pines/",2026-05-26T15:32:15Z,20,"['Horror', 'Metroidvania', 'PC', 'Silver Pines', 'Wych Elm', 'Silver Pines gameplay', 'Silver Pines game', 'Silver Pines first minutes', 'Silver Pines intro', 'Silver Pines horror', 'Silver Pines gameplay 2026', 'Silver Pines indie game']",78755,2680,154,PT12M4S,hd,false,6,724,False,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.616037+00:00
WnmWjpp5jlE,UCKy1dAqELo0zrOtPkf0eTMw,IGN,Paralives - Official Early Access Launch Trailer,"Check out the Early Access Launch Trailer for Paralives, a life simulation customization game developed by Alex Massé and Team. Players will create social bonds, build homes, and create a new life as they see fit. Paralives is available now in Early Access for PC (Steam).",2026-05-26T15:22:02Z,20,"['Alex Massé and team', 'Macintosh', 'PC', 'Paralives', 'Paralives Studios', 'Simulation']",13238,218,32,PT1M28S,hd,false,6,88,True,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.616046+00:00
6EJDNgo4yyE,UCKy1dAqELo0zrOtPkf0eTMw,IGN,What to Expect From the PlayStation State of Play - June 2026,"Sony is back with another PlayStation State of Play on June 2, 2026 at 2pm PT/5pm ET/10pm BST, so get ready for a whole host of new PS5 game announcements, fresh looks at gameplay, and maybe even some other surprises. With only Marvel’s Wolverine currently listed as being part of the hour-plus long presentation set to share “updates, announcements, and gameplay reveals from top studios around the world”, there’s a lot to theorise about.

For context, last year’s equivalent stream saw the reveals of Marvel Tokon: Fighting Souls, Nioh 3, and Final Fantasy Tactics: The Ivalice Chronicles, as well as fresh gameplay looks at 007 First Light, Silent Hill f, Ghost of Yotei, and Pragmata. But what can we expect to see this year? Well, let’s get stuck in and look at exactly that.

#IGN #StateOfPlay #PS5",2026-05-26T15:00:39Z,20,"['God of War', 'God of War Trilogy Remake', 'Intergalactic: The Heretic Prophet', ""Marvel's Wolverine"", 'PlayStation 5', 'Remake', 'Wolverine', 'state of play', 'state of play june', 'state of play 2026', 'state of play wolverine', 'wolverine gameplay', 'wolverine state of play', 'intergalactic', 'intergalactic gameplay', 'what to expect from state of play', 'sony state of play', 'playstation state of play', 'playstation new games', 'playstation 2026', '2026 playstation games', 'IGN', 'State of Play June 2026']",273929,4046,687,PT8M49S,hd,false,6,529,False,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.616054+00:00
nfBg5wK-gbU,UCKy1dAqELo0zrOtPkf0eTMw,IGN,LEGO Batman: Legacy of the Dark Knight - Official Accolades Trailer,"Check out the Accolades Trailer for LEGO Batman: Legacy of the Dark Knight, a third-person open-world action-adventure game developed by TT Games. Players will embody a suite of eras from the Dark Knight himself, from film, comics, games, and more. Don't miss the latest trailer to garner the critical reception behind LEGO Batman: Legacy of the Dark Knight, available now for PlayStation 5 (PS5), Xbox Series X|S, Nintendo Switch 2, and PC (Steam).",2026-05-26T13:48:46Z,20,"['Action', 'Adventure', 'Batman', 'DC Comics', 'LEGO', 'LEGO Batman: Legacy of the Dark Knight', 'Nintendo Switch 2', 'Open-World', 'PC', 'PlayStation 5', 'TT Games', 'Warner Bros. Games', 'Warner Bros. Interactive', 'Xbox Series X/S']",25594,607,43,PT31S,hd,false,6,31,True,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.616064+00:00
IxCFZJVeF_U,UCKy1dAqELo0zrOtPkf0eTMw,IGN,Street Fighter 6 - Official Year 3 Characters Outfit 3 Trailer,"Check out the trailer for the latest costume drop for Street Fighter 6. The outfit 3 drop contains Sagat's business attire, C.Viper rocking a spy inspired gala dress, Alex sporting some workout gear and Ingrid wearing an outfit inspired by an easter egg from her first appearance from Capcom Fighting Evolution! 

Outfit 3 for the Season 3 characters drops on May 28th along with Ingrid as a playable character for PlayStation 5 (PS5), PlayStation 4 (PS4), Nintendo Switch 2, Xbox Series X|S and PC (Steam).",2026-05-26T10:28:00Z,20,"['Capcom', 'Fighting', 'Local Two-Player Multiplayer', 'Nintendo Switch 2', 'Offline Versus Multiplayer', 'Online Two-Player Multiplayer', 'Online Versus Multiplayer', 'PC', 'PlayStation 4', 'PlayStation 5', 'Street Fighter', 'Street Fighter 6', 'Xbox Series X/S']",55277,977,90,PT1M29S,hd,false,7,89,True,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.616072+00:00
Z1hVEeRnTE4,UCKy1dAqELo0zrOtPkf0eTMw,IGN,HYPERyuki: Snowboard Syndicate – Official Gameplay Trailer #2,"Check out this new slice of gameplay from HYPERyuki: Snowboard Syndicate, a highly stylized upcoming arcade-style snowboarding game that wears its SSX and Jet Grind Radio influences on its sleeve. It's in development for PC and consoles, and you can wishlist it on Steam if you're interested: https://store.steampowered.com/app/3082730/HYPERyuki_Snowboard_Syndicate/

#ign #gaming",2026-05-26T10:00:10Z,20,"['HYPERyuki: Snowboard Syndicate', 'HYPERyuki: Snowboard Syndicate game trailer', 'game trailers', 'trailer', 'trailers', 'gaming', 'video games', 'video game trailer', 'video game trailers', 'new game trailers', 'new video game trailers', 'upcoming video games', 'new video games 2026', 'upcoming video games 2026']",13184,439,43,PT1M,hd,false,7,60,True,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.616080+00:00
K6-Ltl6KIgU,UCbu2SsF-Or3Rsn3NxqODImw,GameSpot,007 First Light Review - Youth In Revolt,"James Bond inspired Hitman, and now the circle is complete, as IO Interactive's James Bond game wears its Hitman influence with pride.

#007 #jamesbond #review #gaming

Follow our curator page on steam:
https://store.steampowered.com/curator/6861411-GameSpot-Official/",2026-05-26T22:53:03Z,20,[],108717,1823,261,PT11M24S,hd,false,6,684,False,6,30,5680000,4089583239,41825,2006-04-09T02:01:54Z,,GameSpot,2026-06-02T11:07:42.583353+00:00
xcWslcHMK28,UCbu2SsF-Or3Rsn3NxqODImw,GameSpot,The MIX at Bitsummit 2026 Showcase,"The MIX traveled to Kyoto, Japan, for the annual BitSummit indie game festival to play some unique games from international indie developers.

Game Titles in the showcase include:
A Tiny Wander
Baito Fight!!: Part-time Devil Hunter
City of None
CYCLIA JOURNEY
Queen's Blade Re:Build
SAEKO: Giantess Dating Sim
Wild Blue Skies
ZHEN: Shattered Legacy

Follow our curator page on steam:
https://store.steampowered.com/curator/6861411-GameSpot-Official/",2026-05-26T19:14:26Z,20,[],4164,101,4,PT2H20M36S,hd,false,6,8436,False,6,30,5680000,4089583239,41825,2006-04-09T02:01:54Z,,GameSpot,2026-06-02T11:07:42.583380+00:00
3kN8EmZqpV4,UCbu2SsF-Or3Rsn3NxqODImw,GameSpot,007 First Light Quick Review,"#007 #007firstlight #firstlight #jamesbond 

Follow our curator page on steam:
https://store.steampowered.com/curator/6861411-GameSpot-Official/",2026-05-26T17:28:40Z,20,[],35792,516,50,PT49S,hd,false,6,49,True,6,30,5680000,4089583239,41825,2006-04-09T02:01:54Z,,GameSpot,2026-06-02T11:07:42.583392+00:00
O7CjzVHLuYE,UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,ACTUALLY TERRIFYING | Psalm 2 Demo,"It's been a while since I played a horror game this scary! Psalm 2 delivers and I can't wait for the full game to come out!
LISTEN TO DISTRACTIBLE ►► https://open.spotify.com/show/2X40qLyoj1wQ2qE5FVpA7x

Edited By ► @LixianTV 

Play the Game ► https://store.steampowered.com/app/3916260/Psalm_2/

Scary Games Playlist ► https://www.youtube.com/playlist?list=PL3tRBEVW0hiBSFOFhTC5wt75P2BES0rAo",2026-05-26T18:09:29Z,20,"['markiplier', 'jumspcares', 'scary games', 'jump scare', 'indie horror', 'psalm 2', 'psalm game', 'psalm 2 markiplier', 'psalm 2 scary game', 'psalm 2 demo', 'reactions', 'scares', 'scare reactions', 'monster']",1052900,64632,2294,PT16M24S,hd,false,6,984,False,6,30,38700000,23563498024,5866,2012-05-26T20:30:52Z,US,Markiplier,2026-06-02T11:07:43.291458+00:00
EeT-p3SZ5ls,UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,I'm in 007 First Light,"007 First Light is OUT and I'm in the game
Play a James Bond re-imagined origin story and Earn The Number. Available now https://bit.ly/JackSepticEye007FirstLight

#IO|Creator
#ad
#EarnTheNumber
#007FirstLight",2026-05-26T20:32:04Z,24,"['jacksepticeye', 'livestream', 'thankmas']",985264,37654,1107,PT2H57M16S,hd,false,6,10636,False,6,30,31200000,17633579000,5321,2007-02-24T14:28:56Z,IE,jacksepticeye,2026-06-02T11:07:44.223904+00:00
prdidOvMbe0,UCGmnsW623G1r-Chmo5RB4Yw,KSI,"MAKE US UNCOMFORTABLE, WIN $1,000 (ft. Deji)","💸 SUBSCRIBE for your chance to WIN £1,000 or appear in a KSI video!

NEW CHANNEL: https://www.youtube.com/@KSIplus
📲 Sub to be part of KSI videos! #ksi
👀 Follow KSI everywhere: @ksi
🎬 For stream highlights and clips: @ksi.irl (Tiktok, Instagram)
💬 Join the KSI Community on X: https://x.com/i/communities/1498249901704155138
💻 Hang out on Discord: https://discord.gg/ksi

BRAND PARTNERSHIPS:
Contact THEVIN GAJAWEERA regarding all brand collaborations for this channel.
📧EMAIL: theving@talentted.com
🌐WEBSITE: http://www.talentted.com",2026-05-26T16:00:36Z,24,"['ksi', 'ksiolajidebt', 'ksiolajidebthd', 'jj olatunji', 'tntl', 'streaming', 'sidemen', 'irl', 'ksi mondays']",2681999,69753,2344,PT36M9S,hd,true,6,2169,False,6,30,18400000,4971017380,1502,2011-01-26T21:00:50Z,GB,KSI,2026-06-02T11:07:49.028416+00:00
